web_scraper_order,web_scraper_start_url,data,data2,data3,image
"1786124408-52","https://sawa9ly.app/wishlist","Distributeur et organisateur de nourriture sèche mural  - صندوق تخزين مثبت على الحائط وموزع طعام","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/18696/organisateur54sd87.jpg"
"1786124408-53","https://sawa9ly.app/wishlist","Lampe D’éclairage LED Xbox Icons Avec 3 Modes D’éclairage – Éclairage Couleur Interactif Avec Musique","4,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/19395/xbox54sd5fs.jpg"
"1786124408-54","https://sawa9ly.app/wishlist","Lumière d'icône de jeu pour XBOX  7 Couleur montage mural","5,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/19431/S10d1d92433c5408d98e29f9103e78da4e.jpg_640x640Q90.jpg_.png"
"1786124408-55","https://sawa9ly.app/wishlist","Chaise de Plage Réglable en 3 Positions Avec Poche Arrière","4,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/22326/Chaise-Plage-Mini-1.jpg"
"1786124408-56","https://sawa9ly.app/wishlist","Degital Testeur de multimètre numérique intelligent DT9205A","2,100 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/24679/9205A.jpg"
"1786124408-57","https://sawa9ly.app/wishlist","Ensemble de pédicure coupe-ongles 16 pièces avec ciseaux pince à épiler outils de manucure professionnels","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/25961/Kit-19pcs-manicure-cnc.jpg"
"1786124408-58","https://sawa9ly.app/wishlist","Écouteur Bluetooth Écran tactile LCD couleur intelligent ANC Réduction du bruit","2,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/25985/Airpods-new-gen-cnc.jpg"
"1786124408-59","https://sawa9ly.app/wishlist","Tapis de souris de jeu RGB Transformez votre expérience de jeu","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/26789/FGD-02-cnc.jpg"
"1786124408-60","https://sawa9ly.app/wishlist","Tapis éducatif géant avec des lettres arabes pour enfants","3,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/27932/Tapis-enfants-alphabet-cnc.jpg"
"1786124408-61","https://sawa9ly.app/wishlist","Pendule Newton Balls d'équilibre en acier classique v2","1,200 دج","+ أضف إلى السلة","https://sawa9ly.app/storage/62657/balanceBb.jpg"
"1786124408-62","https://sawa9ly.app/wishlist","Sac à main Grande capacité avec un portefeuille pour femme","950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/31448/qs5dsdsqsdqs47qfsqsqse-1.jpg"
"1786124408-63","https://sawa9ly.app/wishlist","Tapis de drainage pour évier de cuisine et salle de bain","900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/31683/Tapis-salle-de-bain-cnc.jpg"
"1786124408-64","https://sawa9ly.app/wishlist","Ensemble 3Pcs Couvre-lit imperméable 2 Places Avec 2 Couvre Oreillers épais","2,300 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/31827/Drap-Housse-Protection-cnc-(1).jpg"
"1786124408-65","https://sawa9ly.app/wishlist","Kit Sportif 3en1 Corde à Sauter , Poignet et Appareil pour Abdos","2,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/33447/Spring-Rower-cnc-1.jpg"
"1786124408-66","https://sawa9ly.app/wishlist","Figurine Géante Naruto 30 cm en PVC Le Héros de Konoha à Collectionner","3,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34017/naruto-1.jpg"
"1786124408-67","https://sawa9ly.app/wishlist","Figurine Géante Spider-Man 30 cm en PVC Le Super-Héros Mythique à Collectionner","3,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34024/Spiderman-cnc-1.jpg"
"1786124408-68","https://sawa9ly.app/wishlist","Tire lait électrique confortable avancé FloraFlow NYK01","5,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34246/Tirelait-NYK01-CNC-1.jpg"
"1786124408-69","https://sawa9ly.app/wishlist","Tire-Lait Électrique Portable 4 Modes D’utilisation MY-373","6,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34271/MY-373-CNC.jpg"
"1786124408-70","https://sawa9ly.app/wishlist","Aspirateur Souffleur pour Extérieur et Intérieur 600W","3,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34349/Souffleur-Lamboss-cnc.jpg"
"1786124408-71","https://sawa9ly.app/wishlist","Lampe de Poche LED Portable et Réflecteur 20W","1,650 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34372/Headlamp-5306-cnc.jpg"
"1786124408-72","https://sawa9ly.app/wishlist","Balle de Boxe Reflex pour améliorer la coordination œil-main 3Pcs","2,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34415/Box-Ball-cnc.jpg"
"1786124408-73","https://sawa9ly.app/wishlist","Pack de Valise 6Pcs de Haute Qualité Motif LV","27,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/34458/Pack-Valise-6pcs.jpg"
"1786124408-74","https://sawa9ly.app/wishlist","Ventilateur de Parfum de Sortie de Ventilation","1,300 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35083/Diffiseur-ARM-CNC.jpg"
"1786124408-75","https://sawa9ly.app/wishlist","Caméra de recul HD Avec cadre de plaque d’immatriculation Standard et Radar de Recule","3,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35126/Camera-Radare-cnc.jpg"
"1786124408-76","https://sawa9ly.app/wishlist","Tablette a déssin intéractive et calculatrice éducative pour enfants","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35443/Disgne-1046.jpg"
"1786124408-77","https://sawa9ly.app/wishlist","Lumière Ambiante RGB Pour l’Intérieur de Voiture avec Télécommande + APP Contrôle","9,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35662/LED-Running-cnc.jpg"
"1786124408-78","https://sawa9ly.app/wishlist","Pochette 007 pour ranger les affaires sous la veste","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35793/007-Pouch-cnc.jpg"
"1786124408-79","https://sawa9ly.app/wishlist","Détecteur de faux billets avec lumière UV bleue et blanche","3,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/35947/Detecteur-FB-CNC2.jpg"
"1786124408-80","https://sawa9ly.app/wishlist","Sac à déjeuner isotherme de grande capacité avec bandoulière","1,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36079/Comida-Bag-cnc.jpg"
"1786124408-81","https://sawa9ly.app/wishlist","Blander Jus Portable et Pliable en Silicone avec 6 Lames 500ml","2,450 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/36096/Portable-JC-cnc.jpg"
